date,country,fuel,price
2023-07-03,AT,Automotive gas oil,1.52
2023-07-03,AT,Euro-super 95,1.56
2023-07-03,AT,Fuel oil - Sulphur less than 1%,0.73
2023-07-03,AT,Heating gas oil,1.09
2023-07-03,BE,Automotive gas oil,1.7
2023-07-03,BE,Euro-super 95,1.71
2023-07-03,BE,Fuel oil - Sulphur less than 1%,0.45
2023-07-03,BE,Heating gas oil,0.82
2023-07-03,BE,LPG - motor fuel,0.57
2023-07-03,BG,Automotive gas oil,1.23
2023-07-03,BG,Euro-super 95,1.3
2023-07-03,BG,LPG - motor fuel,0.45
2023-07-03,HR,Automotive gas oil,1.46
2023-07-03,HR,Euro-super 95,1.46
2023-07-03,HR,Fuel oil - Sulphur less than 1%,0.78
2023-07-03,HR,Heating gas oil,0.86
2023-07-03,HR,LPG - motor fuel,0.86
2023-07-03,CY,Automotive gas oil,1.49
2023-07-03,CY,Euro-super 95,1.47
2023-07-03,CY,Fuel oil - Sulphur less than 1%,0.8
2023-07-03,CY,Heating gas oil,1.02
2023-07-03,CZ,Automotive gas oil,1.37
2023-07-03,CZ,Euro-super 95,1.57
2023-07-03,CZ,Heating gas oil,0.93
2023-07-03,CZ,LPG - motor fuel,0.63
2023-07-03,DK,Automotive gas oil,1.61
2023-07-03,DK,Euro-super 95,1.88
2023-07-03,DK,Fuel oil - Sulphur less than 1%,1.25
2023-07-03,DK,Heating gas oil,1.74
2023-07-03,EE,Automotive gas oil,1.5
2023-07-03,EE,Euro-super 95,1.7
2023-07-03,EE,Heating gas oil,1.03
2023-07-03,EE,LPG - motor fuel,0.69
2023-07-03,FI,Automotive gas oil,1.93
2023-07-03,FI,Euro-super 95,2.03
2023-07-03,FI,Heating gas oil,1.39
2023-07-03,FR,Automotive gas oil,1.68
2023-07-03,FR,Euro-super 95,1.83
2023-07-03,FR,Fuel oil - Sulphur less than 1%,0.66
2023-07-03,FR,Heating gas oil,1.13
2023-07-03,FR,LPG - motor fuel,0.98
2023-07-03,DE,Automotive gas oil,1.61
2023-07-03,DE,Euro-super 95,1.85
2023-07-03,DE,Heating gas oil,0.96
2023-07-03,DE,LPG - motor fuel,1.01
2023-07-03,GR,Automotive gas oil,1.58
2023-07-03,GR,Euro-super 95,1.86
2023-07-03,GR,Fuel oil - Sulphur less than 1%,0.67
2023-07-03,GR,Heating gas oil,1.26
2023-07-03,GR,Lead substitute petrol,2.05
2023-07-03,HU,Automotive gas oil,1.5
2023-07-03,HU,Euro-super 95,1.53
2023-07-03,HU,Fuel oil - Sulphur less than 1%,0.7
2023-07-03,HU,Heating gas oil,1.5
2023-07-03,HU,LPG - motor fuel,0.84
2023-07-03,IE,Automotive gas oil,1.52
2023-07-03,IE,Euro-super 95,1.64
2023-07-03,IE,Fuel oil - Sulphur less than 1%,0.94
2023-07-03,IE,Heating gas oil,0.88
2023-07-03,IT,Automotive gas oil,1.69
2023-07-03,IT,Euro-super 95,1.85
2023-07-03,IT,Fuel oil - Sulphur less than 1%,0.62
2023-07-03,IT,Heating gas oil,1.44
2023-07-03,IT,LPG - motor fuel,0.72
2023-07-03,LV,Automotive gas oil,1.43
2023-07-03,LV,Euro-super 95,1.58
2023-07-03,LV,Heating gas oil,0.96
2023-07-03,LV,LPG - motor fuel,0.73
2023-07-03,LT,Automotive gas oil,1.35
2023-07-03,LT,Euro-super 95,1.49
2023-07-03,LT,Fuel oil - Sulphur higher than 1%,0.34
2023-07-03,LT,Heating gas oil,0.83
2023-07-03,LT,LPG - motor fuel,0.59
2023-07-03,LU,Automotive gas oil,1.43
2023-07-03,LU,Euro-super 95,1.54
2023-07-03,LU,Heating gas oil,0.87
2023-07-03,LU,LPG - motor fuel,0.59
2023-07-03,MT,Automotive gas oil,1.21
2023-07-03,MT,Euro-super 95,1.34
2023-07-03,MT,Heating gas oil,1.0
2023-07-03,NL,Automotive gas oil,1.64
2023-07-03,NL,Euro-super 95,1.98
2023-07-03,NL,LPG - motor fuel,0.75
2023-07-03,PL,Automotive gas oil,1.39
2023-07-03,PL,Euro-super 95,1.45
2023-07-03,PL,Fuel oil - Sulphur higher than 1%,0.55
2023-07-03,PL,Fuel oil - Sulphur less than 1%,0.59
2023-07-03,PL,Heating gas oil,1.1
2023-07-03,PL,LPG - motor fuel,0.64
2023-07-03,PT,Automotive gas oil,1.48
2023-07-03,PT,Euro-super 95,1.65
2023-07-03,PT,Fuel oil - Sulphur less than 1%,0.91
2023-07-03,PT,Heating gas oil,1.47
2023-07-03,PT,LPG - motor fuel,0.76
2023-07-03,RO,Automotive gas oil,1.35
2023-07-03,RO,Euro-super 95,1.35
2023-07-03,RO,Fuel oil - Sulphur less than 1%,0.65
2023-07-03,RO,Heating gas oil,1.3
2023-07-03,RO,LPG - motor fuel,0.74
2023-07-03,SK,Automotive gas oil,1.44
2023-07-03,SK,Euro-super 95,1.57
2023-07-03,SK,Fuel oil - Sulphur higher than 1%,0.65
2023-07-03,SK,Fuel oil - Sulphur less than 1%,0.66
2023-07-03,SK,LPG - motor fuel,0.7
2023-07-03,SI,Automotive gas oil,1.49
2023-07-03,SI,Euro-super 95,1.45
2023-07-03,SI,Heating gas oil,1.08
2023-07-03,SI,LPG - motor fuel,0.88
2023-07-03,ES,Automotive gas oil,1.44
2023-07-03,ES,Euro-super 95,1.59
2023-07-03,ES,Fuel oil - Sulphur less than 1%,0.59
2023-07-03,ES,Heating gas oil,0.92
2023-07-03,ES,LPG - motor fuel,0.92
2023-07-03,SE,Automotive gas oil,1.87
2023-07-03,SE,Euro-super 95,1.65
2023-07-03,SE,Fuel oil - Sulphur less than 1%,0.89
2023-07-03,SE,Heating gas oil,1.18
