date,country,fuel,price
2023-06-05,AT,Automotive gas oil,1.49
2023-06-05,AT,Euro-super 95,1.57
2023-06-05,AT,Fuel oil - Sulphur less than 1%,0.72
2023-06-05,AT,Heating gas oil,1.08
2023-06-05,BE,Automotive gas oil,1.69
2023-06-05,BE,Euro-super 95,1.73
2023-06-05,BE,Fuel oil - Sulphur less than 1%,0.45
2023-06-05,BE,Heating gas oil,0.83
2023-06-05,BE,LPG - motor fuel,0.59
2023-06-05,BG,Automotive gas oil,1.23
2023-06-05,BG,Euro-super 95,1.29
2023-06-05,BG,Heating gas oil,1.28
2023-06-05,BG,LPG - motor fuel,0.47
2023-06-05,HR,Automotive gas oil,1.39
2023-06-05,HR,Euro-super 95,1.37
2023-06-05,HR,Fuel oil - Sulphur less than 1%,0.78
2023-06-05,HR,Heating gas oil,0.83
2023-06-05,HR,LPG - motor fuel,0.91
2023-06-05,CY,Automotive gas oil,1.38
2023-06-05,CY,Euro-super 95,1.38
2023-06-05,CY,Fuel oil - Sulphur less than 1%,0.8
2023-06-05,CY,Heating gas oil,0.97
2023-06-05,CZ,Automotive gas oil,1.33
2023-06-05,CZ,Euro-super 95,1.56
2023-06-05,CZ,Heating gas oil,0.9
2023-06-05,CZ,LPG - motor fuel,0.65
2023-06-05,DK,Automotive gas oil,1.57
2023-06-05,DK,Euro-super 95,1.94
2023-06-05,DK,Fuel oil - Sulphur less than 1%,1.31
2023-06-05,DK,Heating gas oil,1.65
2023-06-05,EE,Automotive gas oil,1.5
2023-06-05,EE,Euro-super 95,1.7
2023-06-05,EE,Heating gas oil,1.02
2023-06-05,EE,LPG - motor fuel,0.69
2023-06-05,FI,Automotive gas oil,1.76
2023-06-05,FI,Euro-super 95,1.89
2023-06-05,FI,Heating gas oil,1.38
2023-06-05,FR,Automotive gas oil,1.67
2023-06-05,FR,Euro-super 95,1.87
2023-06-05,FR,Fuel oil - Sulphur less than 1%,0.66
2023-06-05,FR,Heating gas oil,1.13
2023-06-05,FR,LPG - motor fuel,0.98
2023-06-05,DE,Automotive gas oil,1.58
2023-06-05,DE,Euro-super 95,1.85
2023-06-05,DE,Heating gas oil,0.97
2023-06-05,DE,LPG - motor fuel,1.02
2023-06-05,GR,Automotive gas oil,1.56
2023-06-05,GR,Euro-super 95,1.86
2023-06-05,GR,Fuel oil - Sulphur less than 1%,0.67
2023-06-05,GR,Heating gas oil,1.26
2023-06-05,GR,Lead substitute petrol,2.05
2023-06-05,HU,Automotive gas oil,1.51
2023-06-05,HU,Euro-super 95,1.56
2023-06-05,HU,Fuel oil - Sulphur less than 1%,0.77
2023-06-05,HU,Heating gas oil,1.51
2023-06-05,HU,LPG - motor fuel,0.86
2023-06-05,IE,Automotive gas oil,1.45
2023-06-05,IE,Euro-super 95,1.56
2023-06-05,IE,Fuel oil - Sulphur less than 1%,0.93
2023-06-05,IE,Heating gas oil,0.88
2023-06-05,IT,Automotive gas oil,1.66
2023-06-05,IT,Euro-super 95,1.82
2023-06-05,IT,Fuel oil - Sulphur less than 1%,0.6
2023-06-05,IT,Heating gas oil,1.42
2023-06-05,IT,LPG - motor fuel,0.75
2023-06-05,LV,Automotive gas oil,1.39
2023-06-05,LV,Euro-super 95,1.57
2023-06-05,LV,Heating gas oil,0.92
2023-06-05,LV,LPG - motor fuel,0.74
2023-06-05,LT,Automotive gas oil,1.3
2023-06-05,LT,Euro-super 95,1.47
2023-06-05,LT,Fuel oil - Sulphur higher than 1%,0.34
2023-06-05,LT,Heating gas oil,0.8
2023-06-05,LT,LPG - motor fuel,0.58
2023-06-05,LU,Automotive gas oil,1.4
2023-06-05,LU,Euro-super 95,1.55
2023-06-05,LU,Heating gas oil,0.86
2023-06-05,LU,LPG - motor fuel,0.62
2023-06-05,MT,Automotive gas oil,1.21
2023-06-05,MT,Euro-super 95,1.34
2023-06-05,MT,Heating gas oil,1.0
2023-06-05,NL,Automotive gas oil,1.5
2023-06-05,NL,Euro-super 95,1.81
2023-06-05,NL,LPG - motor fuel,0.75
2023-06-05,PL,Automotive gas oil,1.38
2023-06-05,PL,Euro-super 95,1.46
2023-06-05,PL,Fuel oil - Sulphur higher than 1%,0.57
2023-06-05,PL,Fuel oil - Sulphur less than 1%,0.58
2023-06-05,PL,Heating gas oil,1.11
2023-06-05,PL,LPG - motor fuel,0.65
2023-06-05,PT,Automotive gas oil,1.44
2023-06-05,PT,Euro-super 95,1.66
2023-06-05,PT,Fuel oil - Sulphur less than 1%,0.88
2023-06-05,PT,Heating gas oil,1.43
2023-06-05,PT,LPG - motor fuel,0.76
2023-06-05,RO,Automotive gas oil,1.33
2023-06-05,RO,Euro-super 95,1.34
2023-06-05,RO,Fuel oil - Sulphur less than 1%,0.6
2023-06-05,RO,Heating gas oil,0.48
2023-06-05,RO,LPG - motor fuel,0.8
2023-06-05,SK,Automotive gas oil,1.42
2023-06-05,SK,Euro-super 95,1.58
2023-06-05,SK,Fuel oil - Sulphur higher than 1%,0.64
2023-06-05,SK,Fuel oil - Sulphur less than 1%,0.65
2023-06-05,SK,LPG - motor fuel,0.69
2023-06-05,SI,Automotive gas oil,1.46
2023-06-05,SI,Euro-super 95,1.4
2023-06-05,SI,Heating gas oil,1.05
2023-06-05,SI,LPG - motor fuel,0.89
2023-06-05,ES,Automotive gas oil,1.42
2023-06-05,ES,Euro-super 95,1.59
2023-06-05,ES,Fuel oil - Sulphur less than 1%,0.58
2023-06-05,ES,Heating gas oil,0.91
2023-06-05,ES,LPG - motor fuel,0.94
2023-06-05,SE,Automotive gas oil,1.86
2023-06-05,SE,Euro-super 95,1.7
2023-06-05,SE,Fuel oil - Sulphur less than 1%,0.89
2023-06-05,SE,Heating gas oil,1.17
