date,country,fuel,price
2023-06-26,AT,Automotive gas oil,1.53
2023-06-26,AT,Euro-super 95,1.58
2023-06-26,AT,Fuel oil - Sulphur less than 1%,0.73
2023-06-26,AT,Heating gas oil,1.09
2023-06-26,BE,Automotive gas oil,1.68
2023-06-26,BE,Euro-super 95,1.71
2023-06-26,BE,Fuel oil - Sulphur less than 1%,0.45
2023-06-26,BE,Heating gas oil,0.84
2023-06-26,BE,LPG - motor fuel,0.57
2023-06-26,BG,Automotive gas oil,1.24
2023-06-26,BG,Euro-super 95,1.3
2023-06-26,BG,LPG - motor fuel,0.45
2023-06-26,HR,Automotive gas oil,1.46
2023-06-26,HR,Euro-super 95,1.46
2023-06-26,HR,Fuel oil - Sulphur less than 1%,0.78
2023-06-26,HR,Heating gas oil,0.86
2023-06-26,HR,LPG - motor fuel,0.87
2023-06-26,CY,Automotive gas oil,1.41
2023-06-26,CY,Euro-super 95,1.38
2023-06-26,CY,Fuel oil - Sulphur less than 1%,0.8
2023-06-26,CY,Heating gas oil,0.97
2023-06-26,CZ,Automotive gas oil,1.37
2023-06-26,CZ,Euro-super 95,1.57
2023-06-26,CZ,Heating gas oil,0.95
2023-06-26,CZ,LPG - motor fuel,0.64
2023-06-26,DK,Automotive gas oil,1.63
2023-06-26,DK,Euro-super 95,1.9
2023-06-26,DK,Fuel oil - Sulphur less than 1%,1.25
2023-06-26,DK,Heating gas oil,1.75
2023-06-26,EE,Automotive gas oil,1.5
2023-06-26,EE,Euro-super 95,1.7
2023-06-26,EE,Heating gas oil,1.05
2023-06-26,EE,LPG - motor fuel,0.69
2023-06-26,FI,Automotive gas oil,1.82
2023-06-26,FI,Euro-super 95,1.93
2023-06-26,FI,Heating gas oil,1.41
2023-06-26,FR,Automotive gas oil,1.7
2023-06-26,FR,Euro-super 95,1.87
2023-06-26,FR,Fuel oil - Sulphur less than 1%,0.66
2023-06-26,FR,Heating gas oil,1.14
2023-06-26,FR,LPG - motor fuel,0.98
2023-06-26,DE,Automotive gas oil,1.61
2023-06-26,DE,Euro-super 95,1.85
2023-06-26,DE,Heating gas oil,0.98
2023-06-26,DE,LPG - motor fuel,1.01
2023-06-26,GR,Automotive gas oil,1.58
2023-06-26,GR,Euro-super 95,1.87
2023-06-26,GR,Fuel oil - Sulphur less than 1%,0.67
2023-06-26,GR,Heating gas oil,1.26
2023-06-26,GR,Lead substitute petrol,2.06
2023-06-26,HU,Automotive gas oil,1.54
2023-06-26,HU,Euro-super 95,1.58
2023-06-26,HU,Fuel oil - Sulphur less than 1%,0.72
2023-06-26,HU,Heating gas oil,1.54
2023-06-26,HU,LPG - motor fuel,0.85
2023-06-26,IE,Automotive gas oil,1.51
2023-06-26,IE,Euro-super 95,1.63
2023-06-26,IE,Fuel oil - Sulphur less than 1%,0.94
2023-06-26,IE,Heating gas oil,0.89
2023-06-26,IT,Automotive gas oil,1.69
2023-06-26,IT,Euro-super 95,1.85
2023-06-26,IT,Fuel oil - Sulphur less than 1%,0.62
2023-06-26,IT,Heating gas oil,1.45
2023-06-26,IT,LPG - motor fuel,0.73
2023-06-26,LV,Automotive gas oil,1.42
2023-06-26,LV,Euro-super 95,1.57
2023-06-26,LV,Heating gas oil,0.95
2023-06-26,LV,LPG - motor fuel,0.71
2023-06-26,LT,Automotive gas oil,1.36
2023-06-26,LT,Euro-super 95,1.51
2023-06-26,LT,Fuel oil - Sulphur higher than 1%,0.34
2023-06-26,LT,Heating gas oil,0.83
2023-06-26,LT,LPG - motor fuel,0.59
2023-06-26,LU,Automotive gas oil,1.47
2023-06-26,LU,Euro-super 95,1.56
2023-06-26,LU,Heating gas oil,0.89
2023-06-26,LU,LPG - motor fuel,0.59
2023-06-26,MT,Automotive gas oil,1.21
2023-06-26,MT,Euro-super 95,1.34
2023-06-26,MT,Heating gas oil,1.0
2023-06-26,NL,Automotive gas oil,1.54
2023-06-26,NL,Euro-super 95,1.83
2023-06-26,NL,LPG - motor fuel,0.72
2023-06-26,PL,Automotive gas oil,1.4
2023-06-26,PL,Euro-super 95,1.46
2023-06-26,PL,Fuel oil - Sulphur higher than 1%,0.55
2023-06-26,PL,Fuel oil - Sulphur less than 1%,0.58
2023-06-26,PL,Heating gas oil,1.11
2023-06-26,PL,LPG - motor fuel,0.65
2023-06-26,PT,Automotive gas oil,1.5
2023-06-26,PT,Euro-super 95,1.67
2023-06-26,PT,Fuel oil - Sulphur less than 1%,0.91
2023-06-26,PT,Heating gas oil,1.48
2023-06-26,PT,LPG - motor fuel,0.76
2023-06-26,RO,Automotive gas oil,1.35
2023-06-26,RO,Euro-super 95,1.35
2023-06-26,RO,Fuel oil - Sulphur less than 1%,0.63
2023-06-26,RO,Heating gas oil,1.3
2023-06-26,RO,LPG - motor fuel,0.76
2023-06-26,SK,Automotive gas oil,1.46
2023-06-26,SK,Euro-super 95,1.59
2023-06-26,SK,Fuel oil - Sulphur higher than 1%,0.65
2023-06-26,SK,Fuel oil - Sulphur less than 1%,0.66
2023-06-26,SK,LPG - motor fuel,0.7
2023-06-26,SI,Automotive gas oil,1.47
2023-06-26,SI,Euro-super 95,1.44
2023-06-26,SI,Heating gas oil,1.06
2023-06-26,SI,LPG - motor fuel,0.88
2023-06-26,ES,Automotive gas oil,1.44
2023-06-26,ES,Euro-super 95,1.6
2023-06-26,ES,Fuel oil - Sulphur less than 1%,0.57
2023-06-26,ES,Heating gas oil,0.93
2023-06-26,ES,LPG - motor fuel,0.93
2023-06-26,SE,Automotive gas oil,1.9
2023-06-26,SE,Euro-super 95,1.68
2023-06-26,SE,Fuel oil - Sulphur less than 1%,0.9
2023-06-26,SE,Heating gas oil,1.22
