date,country,fuel,price
2023-05-29,AT,Automotive gas oil,1.5
2023-05-29,AT,Euro-super 95,1.57
2023-05-29,AT,Fuel oil - Sulphur less than 1%,0.72
2023-05-29,AT,Heating gas oil,1.08
2023-05-29,BE,Automotive gas oil,1.65
2023-05-29,BE,Euro-super 95,1.71
2023-05-29,BE,Fuel oil - Sulphur less than 1%,0.45
2023-05-29,BE,Heating gas oil,0.82
2023-05-29,BE,LPG - motor fuel,0.61
2023-05-29,BG,Automotive gas oil,1.24
2023-05-29,BG,Euro-super 95,1.29
2023-05-29,BG,Heating gas oil,1.28
2023-05-29,BG,LPG - motor fuel,0.48
2023-05-29,HR,Automotive gas oil,1.39
2023-05-29,HR,Euro-super 95,1.37
2023-05-29,HR,Fuel oil - Sulphur less than 1%,0.78
2023-05-29,HR,Heating gas oil,0.83
2023-05-29,HR,LPG - motor fuel,0.91
2023-05-29,CY,Automotive gas oil,1.38
2023-05-29,CY,Euro-super 95,1.38
2023-05-29,CY,Fuel oil - Sulphur less than 1%,0.8
2023-05-29,CY,Heating gas oil,1.01
2023-05-29,CZ,Automotive gas oil,1.31
2023-05-29,CZ,Euro-super 95,1.54
2023-05-29,CZ,Heating gas oil,0.91
2023-05-29,CZ,LPG - motor fuel,0.65
2023-05-29,DK,Automotive gas oil,1.57
2023-05-29,DK,Euro-super 95,1.95
2023-05-29,DK,Fuel oil - Sulphur less than 1%,1.31
2023-05-29,DK,Heating gas oil,1.64
2023-05-29,EE,Automotive gas oil,1.5
2023-05-29,EE,Euro-super 95,1.7
2023-05-29,EE,Heating gas oil,1.03
2023-05-29,EE,LPG - motor fuel,0.69
2023-05-29,FI,Automotive gas oil,1.79
2023-05-29,FI,Euro-super 95,1.9
2023-05-29,FI,Heating gas oil,1.38
2023-05-29,FR,Automotive gas oil,1.67
2023-05-29,FR,Euro-super 95,1.88
2023-05-29,FR,Fuel oil - Sulphur less than 1%,0.66
2023-05-29,FR,Heating gas oil,1.14
2023-05-29,FR,LPG - motor fuel,0.98
2023-05-29,DE,Automotive gas oil,1.59
2023-05-29,DE,Euro-super 95,1.87
2023-05-29,DE,Heating gas oil,0.99
2023-05-29,DE,LPG - motor fuel,1.02
